Chain,evt_day,Active_Addresses,op_transactions
base,2024-07-01 00:00:00.000 UTC,1.1409225e+07,1.07998258e+08
blast,2024-07-01 00:00:00.000 UTC,551489,2.10834e+07
mantle,2024-07-01 00:00:00.000 UTC,754968,1.5028194e+07
mode,2024-07-01 00:00:00.000 UTC,68621,5.34726e+06
optimism,2024-07-01 00:00:00.000 UTC,1.426725e+06,1.4017868e+07
base,2024-06-01 00:00:00.000 UTC,7.336691e+06,8.8338272e+07
blast,2024-06-01 00:00:00.000 UTC,875722,2.753163e+07
mantle,2024-06-01 00:00:00.000 UTC,1.2434e+06,1.6873233e+07
mode,2024-06-01 00:00:00.000 UTC,81868,6.283855e+06
optimism,2024-06-01 00:00:00.000 UTC,1.997059e+06,1.4839082e+07
base,2024-05-01 00:00:00.000 UTC,3.930574e+06,6.5050042e+07
blast,2024-05-01 00:00:00.000 UTC,595727,2.0750241e+07
mantle,2024-05-01 00:00:00.000 UTC,395713,1.0376252e+07
mode,2024-05-01 00:00:00.000 UTC,210285,8.637978e+06
optimism,2024-05-01 00:00:00.000 UTC,2.007581e+06,1.5912186e+07
base,2024-04-01 00:00:00.000 UTC,3.906143e+06,8.0473996e+07
blast,2024-04-01 00:00:00.000 UTC,444113,1.4956145e+07
mantle,2024-04-01 00:00:00.000 UTC,443366,9.905075e+06
mode,2024-04-01 00:00:00.000 UTC,221903,6.837991e+06
optimism,2024-04-01 00:00:00.000 UTC,2.279056e+06,1.9126765e+07
base,2024-03-01 00:00:00.000 UTC,3.102505e+06,3.3626307e+07
blast,2024-03-01 00:00:00.000 UTC,462153,1.1972829e+07
mantle,2024-03-01 00:00:00.000 UTC,150554,7.508284e+06
mode,2024-03-01 00:00:00.000 UTC,104457,4.436835e+06
optimism,2024-03-01 00:00:00.000 UTC,2.008757e+06,1.7058699e+07
base,2024-02-01 00:00:00.000 UTC,1.187456e+06,1.1973979e+07
blast,2024-02-01 00:00:00.000 UTC,24897,613905
mantle,2024-02-01 00:00:00.000 UTC,303263,6.714197e+06
mode,2024-02-01 00:00:00.000 UTC,110238,4.258773e+06
optimism,2024-02-01 00:00:00.000 UTC,1.646867e+06,9.966507e+06
base,2024-01-01 00:00:00.000 UTC,880291,9.494617e+06
mantle,2024-01-01 00:00:00.000 UTC,342330,1.5104802e+07
mode,2024-01-01 00:00:00.000 UTC,5626,1.386363e+06
optimism,2024-01-01 00:00:00.000 UTC,1.104618e+06,1.0806673e+07
base,2023-12-01 00:00:00.000 UTC,837275,7.745361e+06
mantle,2023-12-01 00:00:00.000 UTC,284932,1.2770123e+07
mode,2023-12-01 00:00:00.000 UTC,279,1.340822e+06
optimism,2023-12-01 00:00:00.000 UTC,1.15729e+06,1.0189919e+07
base,2023-11-01 00:00:00.000 UTC,683261,7.2388e+06
mantle,2023-11-01 00:00:00.000 UTC,95865,5.424255e+06
mode,2023-11-01 00:00:00.000 UTC,588,613209
optimism,2023-11-01 00:00:00.000 UTC,1.485767e+06,8.89619e+06
base,2023-10-01 00:00:00.000 UTC,1.27087e+06,1.4930661e+07
mantle,2023-10-01 00:00:00.000 UTC,169304,7.385862e+06
optimism,2023-10-01 00:00:00.000 UTC,885180,7.195387e+06
base,2023-09-01 00:00:00.000 UTC,822045,2.4585659e+07
mantle,2023-09-01 00:00:00.000 UTC,139996,7.115577e+06
optimism,2023-09-01 00:00:00.000 UTC,1.116133e+06,9.226069e+06
base,2023-08-01 00:00:00.000 UTC,952993,1.5603098e+07
mantle,2023-08-01 00:00:00.000 UTC,82048,3.652129e+06
optimism,2023-08-01 00:00:00.000 UTC,1.404807e+06,1.5229609e+07
base,2023-07-01 00:00:00.000 UTC,80997,548366
mantle,2023-07-01 00:00:00.000 UTC,980,44707
optimism,2023-07-01 00:00:00.000 UTC,118799,667611
