blockchain,block_date,mint_count
zora,2024-06-10,261539
base,2024-07-06,326115
ethereum,2024-06-17,16520
zksync,2024-06-19,43756
ethereum,2024-06-14,13131
zksync,2024-06-08,31178
base,2024-06-28,365703
base,2024-06-13,694561
ethereum,2024-06-21,14555
zksync,2024-06-20,31483
zksync,2024-07-04,18163
base,2024-06-09,1.596724e+06
zksync,2024-06-23,25496
zksync,2024-06-26,22944
optimism,2024-06-18,45744
base,2024-06-29,374378
optimism,2024-07-03,65108
base,2024-06-17,425965
zksync,2024-06-27,22773
optimism,2024-06-21,34722
zora,2024-06-21,306667
base,2024-07-02,334357
ethereum,2024-07-07,18039
zksync,2024-06-30,29024
optimism,2024-06-29,76824
base,2024-06-20,427688
zora,2024-06-23,278213
ethereum,2024-06-15,41148
ethereum,2024-06-18,23727
zksync,2024-06-12,33762
optimism,2024-06-17,130235
optimism,2024-06-25,34813
zora,2024-06-18,228632
base,2024-07-01,360192
zora,2024-06-29,257806
zora,2024-06-28,290719
zora,2024-06-17,284275
optimism,2024-06-13,69210
zksync,2024-06-15,29095
zksync,2024-07-07,43303
base,2024-06-24,438199
ethereum,2024-07-06,39471
base,2024-07-05,310954
ethereum,2024-06-23,20428
zora,2024-06-25,247209
ethereum,2024-06-08,24397
zksync,2024-06-24,21430
optimism,2024-06-28,62290
optimism,2024-07-07,38447
optimism,2024-06-11,58679
zksync,2024-06-28,18682
zora,2024-06-08,272518
base,2024-06-18,442897
optimism,2024-06-09,34541
optimism,2024-06-26,29470
ethereum,2024-06-10,22093
base,2024-07-03,347685
base,2024-06-16,547447
zora,2024-07-01,281184
optimism,2024-06-22,24713
ethereum,2024-06-25,14130
zksync,2024-06-21,27498
zksync,2024-06-11,46307
optimism,2024-06-30,121781
zora,2024-06-14,278859
base,2024-06-11,1.194911e+06
base,2024-06-22,367886
ethereum,2024-07-02,14303
zora,2024-07-02,352755
zora,2024-07-06,197267
zksync,2024-06-25,24474
base,2024-07-07,279029
optimism,2024-07-05,52568
optimism,2024-06-15,235166
ethereum,2024-06-09,19894
ethereum,2024-06-26,12338
base,2024-06-23,515591
zora,2024-06-09,297028
base,2024-06-14,428806
ethereum,2024-07-05,17786
zora,2024-06-26,240336
zksync,2024-06-14,26454
zora,2024-06-20,288513
zksync,2024-06-16,26957
zora,2024-06-22,296068
optimism,2024-07-06,47283
base,2024-06-25,892002
zksync,2024-06-18,35440
zora,2024-06-13,375132
zora,2024-07-05,221584
ethereum,2024-06-11,10587
base,2024-06-10,937114
optimism,2024-06-23,28862
zora,2024-07-07,228551
ethereum,2024-06-29,16192
optimism,2024-06-10,42957
zksync,2024-07-05,20034
zora,2024-07-03,288692
ethereum,2024-06-13,11819
zksync,2024-07-01,28981
ethereum,2024-06-22,20835
base,2024-06-21,342068
optimism,2024-06-14,160170
optimism,2024-07-02,96184
zksync,2024-06-22,25928
optimism,2024-06-08,42601
ethereum,2024-07-03,34064
zora,2024-06-11,304830
ethereum,2024-06-19,20802
zora,2024-07-04,359233
base,2024-06-08,2.684773e+06
ethereum,2024-06-28,13266
ethereum,2024-06-27,9542
optimism,2024-06-27,50535
base,2024-06-12,864478
ethereum,2024-06-12,10017
optimism,2024-06-20,33508
optimism,2024-06-16,426515
ethereum,2024-07-04,13407
zora,2024-06-19,226857
zksync,2024-07-02,38584
base,2024-06-19,1.053063e+06
zksync,2024-06-09,34802
zksync,2024-06-10,54196
optimism,2024-06-12,60766
zora,2024-06-12,423772
optimism,2024-07-04,48505
zksync,2024-06-29,18699
ethereum,2024-06-20,10118
zksync,2024-06-13,32319
zksync,2024-07-03,26384
optimism,2024-07-01,76879
ethereum,2024-06-30,78687
zksync,2024-06-17,48776
zora,2024-06-24,275161
base,2024-06-27,559923
zora,2024-06-27,266629
zora,2024-06-15,293174
zksync,2024-07-06,24297
zora,2024-06-30,310053
base,2024-06-30,365440
base,2024-06-26,517322
ethereum,2024-06-24,8196
optimism,2024-06-19,37615
zora,2024-06-16,864450
base,2024-06-15,424719
ethereum,2024-06-16,27495
optimism,2024-06-24,39673
base,2024-07-04,285898
ethereum,2024-07-01,32037
