evt_day,cumulative_l1_calldata_cost_usd,cumulative_l2_rev_usd,cumulative_margin_usd
2023-07-01 00:00:00.000 UTC,-100686.5666006266,141181.1549908411,40494.588390214514
2023-08-01 00:00:00.000 UTC,-2.360857169183606e+06,3.3429098839998026e+06,982052.7148161969
2023-09-01 00:00:00.000 UTC,-3.1522178688431764e+06,5.059034822068511e+06,1.9068169532253346e+06
2023-10-01 00:00:00.000 UTC,-3.8825530475169e+06,6.439421815308273e+06,2.556868767791373e+06
2023-11-01 00:00:00.000 UTC,-6.396178153425469e+06,9.529129128662871e+06,3.1329509752374026e+06
2023-12-01 00:00:00.000 UTC,-1.0490985804801114e+07,1.4217601669883832e+07,3.726615865082719e+06
2024-01-01 00:00:00.000 UTC,-1.348950180544143e+07,1.802982750228891e+07,4.540325696847481e+06
2024-02-01 00:00:00.000 UTC,-1.9166128996078484e+07,2.3752668869566962e+07,4.586539873488477e+06
2024-03-01 00:00:00.000 UTC,-2.468975386230643e+07,3.0495846370368697e+07,5.806092508062266e+06
2024-04-01 00:00:00.000 UTC,-2.470542321536087e+07,3.260959208604379e+07,7.904168870682923e+06
2024-05-01 00:00:00.000 UTC,-2.4714480273123577e+07,3.4188063813751176e+07,9.473583540627599e+06
2024-06-01 00:00:00.000 UTC,-2.475673353268055e+07,3.5794853649164125e+07,1.1038120116483578e+07
2024-07-01 00:00:00.000 UTC,-2.476309165862683e+07,3.7163397500120394e+07,1.2400305841493566e+07
